Age_final,Body_found,Deck Name,Destination,Gender,Lifeboat,Number of parents/children aboard,Number of siblings/spouses aboard,Passenger class,Point of embarkation,Survived
61,Found,Bridge Deck,"Brooklyn, NY",Male,Not boarded,0,0,1,Southampton,0
58,Found,Bridge Deck,"Buffalo, NY",Male,Not boarded,0,0,1,Cherbourg,0
70,Found,Bridge Deck,"Milwaukee, WI",Male,Not boarded,1,1,1,Southampton,0
55,Found,Bridge Deck,"Montreal, PQ",Male,Not boarded,1,1,1,Southampton,0
48,Found,Bridge Deck,"Omaha, NE",Male,Not boarded,0,0,1,Cherbourg,0
65,Found,Bridge Deck,"Providence, RI",Male,Not boarded,1,0,1,Cherbourg,0
40,Found,Bridge Deck,Unknown,Male,Not boarded,0,0,1,Southampton,0
36,Found,Middle Deck,"Nice, France",Male,Not boarded,2,0,2,Southampton,0
85,Found,Middle Deck,Unknown,Male,Not boarded,0,0,8,Southampton,0
39,Found,Promenade Deck,"Philadelphia, PA",Male,Not boarded,0,0,1,Cherbourg,0
28,Found,Saloon Deck,"?Havana, Cuba",Male,Not boarded,0,0,1,Cherbourg,0
21,Found,Saloon Deck,"Brunswick, ME",Male,Not boarded,1,0,1,Southampton,0
61,Found,Saloon Deck,"Haddenfield, NJ",Male,Not boarded,0,0,1,Southampton,0
58,Found,Saloon Deck,"Lexington, MA",Male,Not boarded,2,0,1,Cherbourg,0
29,Found,Saloon Deck,"Springfield, MA",Male,Not boarded,0,0,1,Southampton,0
50,Found,Shelter Deck,"Deephaven, MN / Cedar Rapids, IA",Male,Not boarded,0,1,1,Cherbourg,0
44,Found,Shelter Deck,"Fond du Lac, WI",Male,Not boarded,0,2,1,Queenstown,0
36,Found,Shelter Deck,"Little Onn Hall, Staffs",Male,Not boarded,0,1,1,Southampton,0
30,Found,Shelter Deck,"Montreal, PQ / Chesterville, ON",Male,Not boarded,2,1,1,Southampton,0
47,Found,Shelter Deck,"New York, NY",Male,Not boarded,0,1,1,Cherbourg,0
67,Found,Shelter Deck,"New York, NY",Male,Not boarded,0,1,1,Southampton,0
46,Found,Shelter Deck,"Surbiton Hill, Surrey",Male,Not boarded,0,0,1,Southampton,0
32,Found,Shelter Deck,Unknown,Male,Not boarded,0,0,1,Cherbourg,0
46,Found,Shelter Deck,"Vancouver, BC",Male,Not boarded,0,0,1,Cherbourg,0
38,Found,Shelter Deck,"Winnipeg, MB",Male,Not boarded,1,0,1,Southampton,0
47,Found,Shelter Deck,"Worcester, MA",Male,Not boarded,0,0,1,Southampton,0
25,Found,Unknown,Argentina,Male,Not boarded,0,0,3,Southampton,0
30,Found,Unknown,"Asarum, Sweden Brooklyn, NY",Male,Not boarded,0,0,3,Southampton,0
30,Found,Unknown,"Auburn, NY",Male,Not boarded,0,0,2,Southampton,0
40,Found,Unknown,"Aughnacliff, Co Longford, Ireland New York, NY",Male,Not boarded,0,0,3,Queenstown,0
33,Found,Unknown,"Austria Niagara Falls, NY",Male,Not boarded,0,0,3,Cherbourg,0
46,Found,Unknown,"Bennington, VT",Male,Not boarded,0,0,1,Southampton,0
32,Found,Unknown,"Bergen, Norway",Male,Not boarded,0,0,3,Southampton,0
26,Found,Unknown,"Bournemouth, England",Male,Not boarded,0,0,3,Southampton,0
27,Found,Unknown,"Bromsgrove, England / Montreal, PQ",Male,Not boarded,0,1,2,Southampton,0
104,Found,Unknown,"Bronx, NY",Male,Not boarded,0,0,4,Southampton,0
25,Found,Unknown,"Catford, Kent / Detroit, MI",Male,Not boarded,0,0,2,Southampton,0
24,Found,Unknown,"Clevedon, England",Male,Not boarded,0,0,2,Southampton,0
18,Found,Unknown,"Co Cork, Ireland Roxbury, MA",Female,Not boarded,0,0,3,Queenstown,0
48,Found,Unknown,"Copenhagen, Denmark",Male,Not boarded,0,0,2,Southampton,0
19,Found,Unknown,"Cornwall / Hancock, MI",Male,Not boarded,1,1,2,Southampton,0
37,Found,Unknown,"Cornwall / Spokane, WA",Male,Not boarded,0,1,2,Southampton,0
16,Found,Unknown,"East Providence, RI",Male,Not boarded,1,1,3,Southampton,0
40,Found,Unknown,"England / Philadelphia, PA",Male,Not boarded,0,1,2,Southampton,0
28,Found,Unknown,Glasgow,Male,Not boarded,0,0,2,Southampton,0
64,Found,Unknown,"Isle of Wight, England",Male,Not boarded,0,0,1,Southampton,0
51,Found,Unknown,"Jacksonville, FL",Male,Not boarded,0,0,2,Southampton,0
35,Found,Unknown,"Liverpool / Montreal, PQ",Male,Not boarded,0,0,2,Southampton,0
33,Found,Unknown,London,Male,Not boarded,0,0,1,Southampton,0
29,Found,Unknown,"Lucca, Italy / California",Male,Not boarded,0,1,2,Cherbourg,0
71,Found,Unknown,"Montevideo, Uruguay",Male,Not boarded,0,0,1,Cherbourg,0
34,Found,Unknown,"Moscow / Bronx, NY",Male,Not boarded,0,1,2,Southampton,0
78,Found,Unknown,"New York, NY",Male,Not boarded,0,1,3,Cherbourg,0
42,Found,Unknown,"New York, NY",Male,Not boarded,0,1,1,Southampton,0
20,Found,Unknown,"Oslo, Norway Cameron, WI",Male,Not boarded,0,0,3,Southampton,0
36,Found,Unknown,"Rochester, NY",Male,Not boarded,0,0,2,Southampton,0
37,Found,Unknown,"Ruotsinphytaa, Finland New York, NY",Male,Not boarded,0,2,3,Southampton,0
25,Found,Unknown,"San Francisco, CA",Male,Not boarded,0,0,1,Cherbourg,0
44,Found,Unknown,"Seattle, WA / Toledo, OH",Male,Not boarded,0,0,2,Southampton,0
50,Found,Unknown,Southampton,Male,Not boarded,0,0,2,Southampton,0
25,Found,Unknown,"Southsea, Hants",Male,Not boarded,0,0,2,Southampton,0
19,Found,Unknown,"St Ives, Cornwall / Calumet, MI",Male,Not boarded,0,0,2,Southampton,0
34,Found,Unknown,"Stanton, IA",Male,Not boarded,1,1,3,Southampton,0
40,Found,Unknown,"Sweden  Worcester, MA",Male,Not boarded,5,1,3,Southampton,0
31,Found,Unknown,"Sweden / Arlington, NJ",Male,Not boarded,0,0,2,Southampton,0
32,Found,Unknown,"Sydney, Australia",Male,Not boarded,0,0,2,Southampton,0
14,Found,Unknown,Unknown,Female,Not boarded,0,1,3,Cherbourg,0
69,Found,Unknown,Unknown,Female,Not boarded,5,0,6,Queenstown,0
95,Found,Unknown,Unknown,Female,Not boarded,4,2,9,Southampton,0
220,Found,Unknown,Unknown,Male,Not boarded,0,0,22,Cherbourg,0
104,Found,Unknown,Unknown,Male,Not boarded,0,0,6,Queenstown,0
809.8709369024857,Found,Unknown,Unknown,Male,Not boarded,6,14,79,Southampton,0
32,Found,Unknown,"West Hampstead, London / Neepawa, MB",Male,Not boarded,0,2,2,Southampton,0
24,Found,Unknown,"West Kensington, London",Male,Not boarded,0,0,2,Southampton,0
50,Found,Unknown,"Weston-Super-Mare, Somerset",Male,Not boarded,0,1,2,Southampton,0
18,Found,Unknown,"Windsor, England New York, NY",Male,Not boarded,0,0,3,Southampton,0
54,Found,Upper Deck,"Dorchester, MA",Male,Not boarded,0,0,1,Southampton,0
65,Found,Upper Deck,"East Bridgewater, MA",Male,Not boarded,0,0,1,Southampton,0
57,Found,Upper Deck,"Southampton / New York, NY",Female,Not boarded,0,0,2,Southampton,0
47,Found,Upper Deck,"St Anne's-on-Sea, Lancashire",Male,Not boarded,0,0,1,Southampton,0
45,Not found,,"Trenton, NJ",Male,Not boarded,0,0,1,Southampton,0
36,Not found,Bridge Deck,"Austria-Hungary / Germantown, Philadelphia, PA",Male,3,1,0,1,Cherbourg,1
32,Not found,Bridge Deck,"Basel, Switzerland",Male,3,0,0,1,Cherbourg,1
50,Not found,Bridge Deck,"Bryn Mawr, PA",Female,4,4,2,2,Southampton,2
11,Not found,Bridge Deck,"Bryn Mawr, PA",Male,4,2,1,1,Southampton,1
36,Not found,Bridge Deck,"Bryn Mawr, PA",Male,C,2,1,1,Southampton,1
17,Not found,Bridge Deck,"Calgary, AB",Female,3,0,1,1,Southampton,1
31,Not found,Bridge Deck,"Calgary, AB",Male,3,0,1,1,Southampton,1
60,Not found,Bridge Deck,"Chicago, IL",Female,4,2,0,2,Cherbourg,2
62,Not found,Bridge Deck,"Cincinatti, OH",Female,6,0,0,1,"",1
44,Not found,Bridge Deck,"Denver, CO",Female,6,0,0,1,Cherbourg,1
19,Not found,Bridge Deck,"Dowagiac, MI",Female,7,0,1,1,Cherbourg,1
25,Not found,Bridge Deck,"Dowagiac, MI",Male,7,0,1,1,Cherbourg,1
58,Not found,Bridge Deck,"Germantown, Philadelphia, PA",Female,3,1,0,1,Cherbourg,1
19,Not found,Bridge Deck,"Greenwich, CT",Female,3,0,0,1,Southampton,1
87,Not found,Bridge Deck,"Haverford, PA / Cooperstown, NY",Female,4,7,5,3,Cherbourg,3
13,Not found,Bridge Deck,"Haverford, PA / Cooperstown, NY",Male,4,2,2,1,Cherbourg,1
61,Not found,Bridge Deck,"Haverford, PA / Cooperstown, NY",Male,Not boarded,3,1,1,Cherbourg,0
49,Not found,Bridge Deck,Liverpool,Male,C,0,0,1,Southampton,1
33,Not found,Bridge Deck,"London  Vancouver, BC",Female,8,0,0,1,Southampton,1
42,Not found,Bridge Deck,London / Middlesex,Male,Not boarded,0,0,1,Southampton,0
30,Not found,Bridge Deck,"London, England",Female,8,0,0,1,Southampton,1
100,Not found,Bridge Deck,"Milwaukee, WI",Female,7,3,1,2,Southampton,2
23,Not found,Bridge Deck,"Minneapolis, MN",Female,7,0,1,1,Southampton,1
24,Not found,Bridge Deck,"Minneapolis, MN",Male,7,0,1,1,Southampton,1
79,Not found,Bridge Deck,"Montreal, PQ",Female,3,3,2,2,Southampton,2
77,Not found,Bridge Deck,"Montreal, PQ",Female,6,2,1,2,Cherbourg,2
24,Not found,Bridge Deck,"Montreal, PQ",Male,Not boarded,1,0,1,Cherbourg,0
54,Not found,Bridge Deck,"Montreal, PQ",Male,Not boarded,0,1,2,Southampton,0
46,Not found,Bridge Deck,"New York, NY",Male,Not boarded,0,0,1,Cherbourg,0
33,Not found,Bridge Deck,"New York, NY",Male,Not boarded,0,0,1,Southampton,0
29.87093690248566,Not found,Bridge Deck,"Paris, France",Female,6,0,1,1,Cherbourg,1
24,Not found,Bridge Deck,"Paris, France",Female,9,0,0,1,Cherbourg,1
57,Not found,Bridge Deck,"Paris, France",Male,Not boarded,0,1,1,Cherbourg,0
22,Not found,Bridge Deck,"Providence, RI",Female,5,1,0,1,Cherbourg,1
87,Not found,Bridge Deck,"St Louis, MO",Female,2,2,0,3,Southampton,3
30,Not found,Bridge Deck,Unknown,Female,3,0,0,1,Southampton,1
36,Not found,Bridge Deck,Unknown,Female,4,0,0,1,Cherbourg,1
38,Not found,Bridge Deck,Unknown,Female,6,0,0,1,"",1
16,Not found,Bridge Deck,Unknown,Female,8,0,0,1,Southampton,1
24,Not found,Bridge Deck,Unknown,Female,9,0,0,1,Cherbourg,1
58,Not found,Bridge Deck,Unknown,Female,Not boarded,0,0,1,Cherbourg,1
35,Not found,Bridge Deck,Unknown,Male,3,0,0,1,Cherbourg,1
24,Not found,Bridge Deck,Unknown,Male,Not boarded,0,0,1,Cherbourg,0
29.87093690248566,Not found,Bridge Deck,Unknown,Male,Not boarded,0,0,1,Southampton,0
45,Not found,Bridge Deck,"Washington, DC",Male,Not boarded,0,0,1,Southampton,0
70,Not found,Bridge Deck,"Zurich, Switzerland",Female,5,3,1,2,Cherbourg,2
60,Not found,Bridge Deck,"Zurich, Switzerland",Male,5,1,1,1,Cherbourg,1
29,Not found,Lower Deck,Unknown,Female,13,4,2,9,Southampton,3
31,Not found,Lower Deck,Unknown,Female,Not boarded,2,1,6,Southampton,0
26,Not found,Middle Deck,"Boston, MA",Male,Not boarded,0,0,2,Southampton,0
34,Not found,Middle Deck,"Chicago, IL",Female,14,0,0,2,Southampton,1
29,Not found,Middle Deck,"Folkstone, Kent / New York, NY",Female,11,0,0,2,Southampton,1
40,Not found,Middle Deck,"Guntur, India / Benton Harbour, MI",Female,11,4,2,4,Southampton,2
12,Not found,Middle Deck,"Guntur, India / Benton Harbour, MI",Female,13,1,2,2,Southampton,1
1,Not found,Middle Deck,"Guntur, India / Benton Harbour, MI",Male,11,1,2,2,Southampton,1
24,Not found,Middle Deck,"London / Montreal, PQ",Female,11,0,0,2,Southampton,1
5,Not found,Middle Deck,"Nice, France",Male,D,2,2,4,Southampton,2
22,Not found,Middle Deck,Pennsylvania,Female,14,0,0,2,Southampton,1
25,Not found,Middle Deck,"Perkins County, SD",Male,A,0,0,3,Southampton,1
29.87093690248566,Not found,Middle Deck,Unknown,Female,D,1,1,3,Cherbourg,1
25,Not found,Middle Deck,Unknown,Male,10,0,0,3,Cherbourg,1
29.87093690248566,Not found,Middle Deck,Unknown,Male,Not boarded,0,0,3,Cherbourg,0
29.87093690248566,Not found,Middle Deck,Unknown,Male,Not boarded,0,0,3,Queenstown,0
19,Not found,Middle Deck,Unknown,Male,Not boarded,0,0,3,Southampton,0
56,Not found,Promenade Deck,"Basel, Switzerland",Male,3,0,0,1,Cherbourg,1
39,Not found,Promenade Deck,"Belfast, NI",Male,Not boarded,0,0,1,Southampton,0
40,Not found,Promenade Deck,"Glen Ridge, NJ",Male,7,0,0,1,Cherbourg,1
80,Not found,Promenade Deck,"Hessle, Yorks",Male,B,0,0,1,Southampton,1
48,Not found,Promenade Deck,London / Paris,Female,1,0,1,1,Cherbourg,1
49,Not found,Promenade Deck,London / Paris,Male,1,0,1,1,Cherbourg,1
28,Not found,Promenade Deck,"New Britain, CT",Male,7,0,0,1,Southampton,1
36,Not found,Promenade Deck,"New York, NY",Female,Not boarded,0,0,1,Cherbourg,0
71,Not found,Promenade Deck,"New York, NY",Male,Not boarded,0,0,1,Cherbourg,0
33,Not found,Promenade Deck,"Paris, France",Female,11,0,0,1,Cherbourg,1
45,Not found,Promenade Deck,"Paris, France",Male,7,0,0,1,Cherbourg,1
41,Not found,Promenade Deck,"Pomeroy, WA",Male,Not boarded,0,0,1,Southampton,0
54,Not found,Promenade Deck,"San Francisco, CA",Female,5,1,1,1,Southampton,1
53,Not found,Promenade Deck,"San Francisco, CA",Male,13,1,1,1,Southampton,1
4,Not found,Promenade Deck,"San Francisco, CA",Male,5,2,0,1,Southampton,1
29.87093690248566,Not found,Promenade Deck,"Seattle, WA",Male,Not boarded,0,0,1,Southampton,0
56,Not found,Promenade Deck,"St James, Long Island, NY",Male,Not boarded,0,0,1,Cherbourg,0
29.87093690248566,Not found,Promenade Deck,"Stoughton, MA",Male,Not boarded,0,0,1,Southampton,0
29.87093690248566,Not found,Promenade Deck,"Streatham, Surrey",Male,Not boarded,0,0,1,Southampton,0
31,Not found,Promenade Deck,"Trenton, NJ",Male,Not boarded,0,0,1,Southampton,0
36,Not found,Promenade Deck,"Winnipeg, MB",Male,Not boarded,0,0,1,Cherbourg,0
45,Not found,Saloon Deck,"Boston, MA",Female,5,0,1,1,Southampton,1
42,Not found,Saloon Deck,"Boston, MA",Male,5,0,1,1,Southampton,1
36,Not found,Saloon Deck,"Bristol, Avon / Jacksonville, FL",Female,10,0,0,2,Southampton,1
54,Not found,Saloon Deck,"Brookline, MA",Female,4,0,1,1,Cherbourg,1
48,Not found,Saloon Deck,"Brooklyn, NY",Female,8,0,0,1,Southampton,1
54,Not found,Saloon Deck,"Brunswick, ME",Male,Not boarded,1,0,1,Southampton,0
20,Not found,Saloon Deck,"Cologne, Germany",Male,7,0,0,2,Cherbourg,1
47,Not found,Saloon Deck,"East Orange, NJ",Male,Not boarded,0,0,1,Southampton,0
52,Not found,Saloon Deck,"Haverford, PA",Female,4,0,1,1,Cherbourg,1
135,Not found,Saloon Deck,"Hudson, NY",Female,10,0,2,3,Southampton,3
29.87093690248566,Not found,Saloon Deck,"Kingston, Surrey",Male,3,0,0,1,Southampton,1
54,Not found,Saloon Deck,"Lexington, MA",Female,6,0,2,2,Cherbourg,2
34,Not found,Saloon Deck,London,Male,13,0,0,2,Southampton,1
42,Not found,Saloon Deck,"London / Winnipeg, MB",Male,Not boarded,0,0,1,Southampton,0
36,Not found,Saloon Deck,"Montreal, PQ",Male,Not boarded,0,0,2,Cherbourg,0
18,Not found,Saloon Deck,"New York, NY",Female,10,0,1,1,Southampton,1
23,Not found,Saloon Deck,"New York, NY",Female,11,0,0,2,Cherbourg,1
49,Not found,Saloon Deck,"New York, NY",Female,3,0,1,1,Cherbourg,1
66,Not found,Saloon Deck,"New York, NY",Female,5,3,1,2,Southampton,2
45,Not found,Saloon Deck,"New York, NY",Female,7,1,0,1,Cherbourg,1
49,Not found,Saloon Deck,"New York, NY",Female,8,0,0,1,Southampton,1
48,Not found,Saloon Deck,"New York, NY",Male,3,0,1,1,Cherbourg,1
43,Not found,Saloon Deck,"New York, NY",Male,5,0,1,1,Cherbourg,1
37,Not found,Saloon Deck,"New York, NY",Male,5,1,1,1,Southampton,1
23,Not found,Saloon Deck,"New York, NY",Male,7,1,0,1,Cherbourg,1
19,Not found,Saloon Deck,"New York, NY",Male,Not boarded,0,1,1,Southampton,0
29.87093690248566,Not found,Saloon Deck,Paris,Male,Not boarded,0,0,2,Cherbourg,0
67,Not found,Saloon Deck,"Paris, France",Female,9,2,0,2,Southampton,2
60,Not found,Saloon Deck,"Philadelphia, PA",Female,8,0,0,1,Cherbourg,1
60,Not found,Saloon Deck,"Portland, OR",Female,5,0,1,1,Cherbourg,1
64,Not found,Saloon Deck,"Portland, OR",Male,Not boarded,0,1,1,Cherbourg,0
29.87093690248566,Not found,Saloon Deck,"Southington / Noank, CT",Female,8,0,1,1,Southampton,1
41,Not found,Saloon Deck,"Southington / Noank, CT",Male,Not boarded,0,1,1,Southampton,0
32,Not found,Saloon Deck,Unknown,Female,8,0,0,1,Cherbourg,1
27,Not found,Saloon Deck,Unknown,Male,3,0,0,1,Cherbourg,1
29.87093690248566,Not found,Saloon Deck,"Westcliff-on-Sea, Essex",Male,Not boarded,0,0,1,Southampton,0
31,Not found,Shelter Deck,"Albany, NY",Male,7,0,0,1,Cherbourg,1
53,Not found,Shelter Deck,"Bayside, Queens, NY",Female,D,0,2,1,Southampton,1
24,Not found,Shelter Deck,"Belgium  Montreal, PQ",Female,6,0,0,1,Cherbourg,1
59,Not found,Shelter Deck,"Belmont, MA",Female,D,0,2,1,Southampton,1
58,Not found,Shelter Deck,"Birkdale, England Cleveland, Ohio",Female,8,0,0,1,Southampton,1
30,Not found,Shelter Deck,"Brockton, MA",Male,Not boarded,0,0,1,Southampton,0
37,Not found,Shelter Deck,"Brooklyn, NY",Male,Not boarded,1,0,1,Cherbourg,0
48,Not found,Shelter Deck,"Deephaven, MN / Cedar Rapids, IA",Female,2,0,1,1,Cherbourg,1
50,Not found,Shelter Deck,"Elkins Park, PA",Female,4,1,1,1,Cherbourg,1
77,Not found,Shelter Deck,"Elkins Park, PA",Male,Not boarded,3,1,2,Cherbourg,0
37,Not found,Shelter Deck,"Fond du Lac, WI",Female,14,0,1,1,Queenstown,1
33,Not found,Shelter Deck,"Green Bay, WI",Female,14,0,1,1,Queenstown,1
58,Not found,Shelter Deck,"Greenwich, CT",Female,3,1,0,1,Southampton,1
39,Not found,Shelter Deck,"Haverford, PA",Female,4,1,1,1,Cherbourg,1
17,Not found,Shelter Deck,"Haverford, PA",Male,B,2,0,1,Cherbourg,1
49,Not found,Shelter Deck,"Haverford, PA",Male,Not boarded,1,1,1,Cherbourg,0
18,Not found,Shelter Deck,"Huntington, WV",Female,6,0,1,1,Southampton,1
24,Not found,Shelter Deck,"Huntington, WV",Male,Not boarded,0,1,1,Southampton,0
22,Not found,Shelter Deck,"Isleworth, England",Female,8,0,1,1,Southampton,1
29,Not found,Shelter Deck,"Isleworth, England",Male,Not boarded,0,1,1,Southampton,0
76,Not found,Shelter Deck,"Little Onn Hall, Staffs",Female,6,0,1,1,Southampton,1
29.87093690248566,Not found,Shelter Deck,"London /  East Orange, NJ",Female,5 7,0,1,1,Southampton,1
48,Not found,Shelter Deck,"London /  East Orange, NJ",Male,5 7,0,1,1,Southampton,1
55,Not found,Shelter Deck,London / Birmingham,Male,Not boarded,0,0,1,Southampton,0
29.87093690248566,Not found,Shelter Deck,"London, England",Male,D,0,0,1,Southampton,1
29.87093690248566,Not found,Shelter Deck,"London, England",Male,Not boarded,0,0,1,Southampton,0
26,Not found,Shelter Deck,"Los Angeles, CA",Female,4,0,1,1,Cherbourg,1
27,Not found,Shelter Deck,"Los Angeles, CA",Male,Not boarded,0,1,1,Cherbourg,0
17,Not found,Shelter Deck,"Madrid, Spain",Female,8,0,1,1,Cherbourg,1
18,Not found,Shelter Deck,"Madrid, Spain",Male,Not boarded,0,1,1,Cherbourg,0
29.87093690248566,Not found,Shelter Deck,"Manchester, England",Male,3,0,0,1,Southampton,1
55,Not found,Shelter Deck,"Montreal, PQ",Male,Not boarded,0,0,1,Southampton,0
27,Not found,Shelter Deck,"Montreal, PQ / Chesterville, ON",Female,Not boarded,4,2,2,Southampton,0
1,Not found,Shelter Deck,"Montreal, PQ / Chesterville, ON",Male,11,2,1,1,Southampton,1
79,Not found,Shelter Deck,"Mt Airy, Philadelphia, PA",Female,7,2,0,2,Cherbourg,2
35,Not found,Shelter Deck,"New York, NY",Female,11,0,1,1,Cherbourg,1
55,Not found,Shelter Deck,"New York, NY",Female,2,0,2,1,Southampton,1
94,Not found,Shelter Deck,"New York, NY",Female,4,0,2,3,Cherbourg,3
24,Not found,Shelter Deck,"New York, NY",Female,7,0,0,1,Cherbourg,1
35,Not found,Shelter Deck,"New York, NY",Female,D,0,1,1,Southampton,1
63,Not found,Shelter Deck,"New York, NY",Female,Not boarded,0,1,1,Southampton,0
30,Not found,Shelter Deck,"New York, NY",Male,11,0,1,1,Cherbourg,1
